# Protocol: COPUS (test): 
# Observation Started: 2025-11-18 10:49:13: 
# Total Duration: 4180.6 seconds: 
# Generated by: REFLECT v1.0: 

time_s,category,response,value
120.00502490997314,Student,Listening,1
120.00619053840637,Instructor,Lecturing,1
120.00743985176086,Instructor,"Posing
Question",1
120.00946879386902,Instructor,"Asking
Clicker
Question",1
120.01189589500427,Student,"Answering
Question",1
120.01439476013184,Engagement,Medium,2
240.01023745536804,Instructor,Lecturing,1
240.01176190376282,Student,Listening,1
240.01290726661682,Instructor,"Asking
Clicker
Question",1
240.0154299736023,Instructor,"Posing
Question",1
240.01759791374207,Student,"Answering
Question",1
240.02022290229797,Engagement,Medium,2
360.00756645202637,Instructor,Lecturing,1
360.0089302062988,Student,Listening,1
360.0099079608917,Instructor,"Posing
Question",1
360.01187682151794,Instructor,"Asking
Clicker
Question",1
360.015376329422,Student,"Answering
Question",1
360.0174779891968,Engagement,Medium,2
480.00393438339233,Instructor,Lecturing,1
480.00545358657837,Instructor,"Posing
Question",1
480.00766134262085,Student,Listening,1
480.00932335853577,Student,"Answering
Question",1
480.0121920108795,Engagement,Medium,2
600.0033326148987,Instructor,Lecturing,1
600.0046195983887,Student,Listening,1
600.0058579444885,Engagement,Medium,2
600.0074350833893,Instructor,"Real-time
Writing",1
719.9983789920807,Instructor,Lecturing,1
719.9997661113739,Instructor,"Real-time
Writing",1
720.0015740394592,Engagement,Medium,2
720.0028412342072,Student,Listening,1
840.0049014091492,Instructor,Lecturing,1
840.006350517273,Engagement,Medium,2
840.0074615478516,Student,Listening,1
840.0088577270508,Instructor,"Real-time
Writing",1
960.0118572711945,Instructor,Lecturing,1
960.0133609771729,Student,Listening,1
960.0145199298859,Engagement,Medium,2
1080.0187766551971,Instructor,Lecturing,1
1080.0201506614685,Student,Listening,1
1080.0213882923126,Instructor,"Posing
Question",1
1080.0235867500305,Engagement,Medium,2
1200.021731853485,Instructor,Lecturing,1
1200.023155450821,Student,Listening,1
1200.0241737365723,Engagement,Medium,2
1320.0151064395905,Instructor,Lecturing,1
1320.0164659023285,Instructor,"Asking
Clicker
Question",1
1320.0192339420319,Instructor,"Posing
Question",1
1320.0219848155975,Student,Listening,1
1320.023766040802,Student,"Answering
Question",1
1440.0386056900024,Instructor,Lecturing,1
1440.0399949550629,Student,Listening,1
1440.0409848690033,Engagement,Medium,2
1560.0444493293762,Instructor,Lecturing,1
1560.0458328723907,Engagement,Medium,2
1560.0471422672272,Student,Listening,1
1680.0648453235626,Instructor,Lecturing,1
1680.0661432743073,Engagement,Medium,2
1680.0679636001587,Student,Listening,1
1800.0653998851776,Instructor,Lecturing,1
1800.0679709911346,Student,Listening,1
1920.0659165382385,Instructor,Lecturing,1
1920.067472934723,Engagement,Medium,2
1920.0686104297638,Student,Listening,1
2040.0636627674103,Instructor,Lecturing,1
2040.0649862289429,Engagement,Medium,2
2040.066133737564,Student,Listening,1
2160.0617048740387,Instructor,Lecturing,1
2160.063200712204,Student,Listening,1
2160.064425945282,Engagement,Medium,2
2280.0652747154236,Instructor,Lecturing,1
2280.0666918754578,Engagement,Medium,2
2280.067851305008,Student,Listening,1
2400.085074186325,Instructor,Lecturing,1
2400.086469888687,Student,"Asking
Question",1
2400.0893025398254,Student,Listening,1
2400.090585231781,Engagement,Medium,2
2400.0916187763214,Student,"Answering
Question",1
2400.0940947532654,Instructor,"Answering
Question",1
2520.086477279663,Instructor,"Answering
Question",1
2520.0898807048798,Instructor,Lecturing,1
2520.0909843444824,Engagement,Medium,2
2520.09192943573,Student,Listening,1
2640.0858991146088,Instructor,Lecturing,1
2640.087218284607,Engagement,Medium,2
2640.0881328582764,Student,Listening,1
2640.089997768402,Student,"Answering
Question",1
2640.092180967331,Instructor,"Asking
Clicker
Question",1
2640.096892118454,Instructor,Stretch it,1
2760.084822177887,Instructor,Lecturing,1
2760.0861415863037,Engagement,Medium,2
2760.0869777202606,Student,Listening,1
2880.076961994171,Instructor,Lecturing,1
2880.0782918930054,Student,Listening,1
2880.0793879032135,Student,"Group
Activities",1
2880.0814640522003,Instructor,"Posing
Question",1
2880.0839598178864,Engagement,High,3
2880.0850372314453,Student,"Thinking/Problem
Solving",1
3000.0787255764008,Engagement,High,3
3000.080204486847,Instructor,"Real-time
Writing",1
3000.0823562145233,Student,"Group
Activities",1
3000.0845062732697,Student,"Thinking/Problem
Solving",1
3120.0867257118225,Instructor,"Posing
Question",1
3120.090793609619,Engagement,High,3
3120.091845035553,Student,"Class
Discussion",1
3120.0938725471497,Student,"Answering
Question",1
3240.0842320919037,Instructor,Lecturing,1
3240.085685968399,Student,Listening,1
3240.086649417877,Instructor,"Posing
Question",1
3240.0890600681305,Engagement,Medium,2
3240.0905520915985,Student,"Answering
Question",1
3240.0927925109863,Student,"Class
Discussion",1
3360.0788514614105,Instructor,Lecturing,1
3360.0802414417267,Student,Listening,1
3360.0813031196594,Instructor,"Posing
Question",1
3360.0833728313446,Engagement,Medium,2
3360.0843377113342,Student,"Answering
Question",1
3480.0876932144165,Student,Listening,1
3480.089315891266,Engagement,Medium,2
3480.090567111969,Instructor,Lecturing,1
3600.0871415138245,Instructor,Lecturing,1
3600.088469028473,Engagement,Medium,2
3600.089585542679,Student,Listening,1
3600.090779066086,Instructor,"Posing
Question",1
3600.0928201675415,Instructor,"Asking
Clicker
Question",1
3720.0853357315063,Instructor,Lecturing,1
3720.086738586426,Engagement,Medium,2
3720.0877192020416,Student,Listening,1
3960.0870242118835,Instructor,Lecturing,1
3960.0884459018707,Engagement,Medium,2
3960.0907003879547,Student,Listening,1
4080.081643104553,Instructor,Lecturing,1
4080.08304643631,Student,Listening,1
4080.0839338302612,Engagement,Low,1
4144.7164669036865,Instructor,Lecturing,1
4144.717315196991,Student,Listening,1
4144.717861413956,Engagement,Low,1
4144.718375444412,Instructor,"Real-time
Writing",1
